Precinct,RegisteredVoters,HarrisEDay,TrumpEDay,SteinEDay,OliverEDay,WIEDay,TotalEDay,HarrisPct,TrumpPct
West Mifflin Dist 9,786,210,206,2,1,2,421,0.498812351543943,0.489311163895487
West Mifflin Dist 10,520,115,178,3,1,0,297,0.387205387205387,0.599326599326599
West Mifflin Dist 11,788,165,272,3,1,4,445,0.370786516853933,0.61123595505618
West Mifflin Dist 12,1025,215,323,2,1,2,543,0.395948434622468,0.594843462246777
West Mifflin Dist 13,543,121,155,0,3,0,279,0.433691756272401,0.555555555555556
West Mifflin Dist 14,933,222,349,2,3,0,576,0.385416666666667,0.605902777777778
West Mifflin Dist 15,596,170,168,5,1,3,347,0.489913544668588,0.484149855907781
West Mifflin Dist 16,1160,213,392,2,2,4,613,0.34747145187602,0.639477977161501
West Mifflin Dist 17,575,127,203,3,2,0,335,0.37910447761194,0.605970149253731
West Mifflin Dist 18,859,213,276,1,3,3,496,0.429435483870968,0.556451612903226
West Mifflin Dist 19,656,136,275,1,3,0,415,0.327710843373494,0.662650602409639
West Mifflin Dist 20,477,111,163,1,2,1,278,0.399280575539568,0.586330935251799
West Mifflin Dist 21,713,146,206,0,4,1,357,0.408963585434174,0.57703081232493
West View Dist 1,679,192,200,3,3,1,399,0.481203007518797,0.50125313283208
West View Dist 2,758,205,221,3,4,1,434,0.472350230414747,0.509216589861751
West View Dist 3,579,156,170,1,1,2,330,0.472727272727273,0.515151515151515
West View Dist 4,600,162,191,2,2,2,359,0.45125348189415,0.532033426183844
West View Dist 5,796,218,228,3,1,1,451,0.483370288248337,0.505543237250554
West View Dist 6,726,232,216,4,4,0,456,0.508771929824561,0.473684210526316
West View Dist 7,620,192,149,1,3,2,347,0.553314121037464,0.429394812680115
Whitaker Dist 1,455,138,131,1,1,0,271,0.509225092250923,0.48339483394834
Whitaker Dist 2,347,79,101,0,0,0,180,0.438888888888889,0.561111111111111
Whitehall Dist 1,568,135,175,1,5,1,317,0.425867507886435,0.55205047318612
Whitehall Dist 2,595,149,217,6,1,1,374,0.398395721925134,0.580213903743316
Whitehall Dist 3,758,164,231,2,1,0,398,0.412060301507538,0.580402010050251
Whitehall Dist 4,662,173,233,1,0,4,411,0.420924574209246,0.5669099756691
Whitehall Dist 5,741,221,185,1,1,0,408,0.541666666666667,0.45343137254902
Whitehall Dist 6,1099,211,116,2,1,2,332,0.635542168674699,0.349397590361446
Whitehall Dist 7,472,128,119,1,1,1,250,0.512,0.476
Whitehall Dist 8,823,235,244,3,1,1,484,0.485537190082645,0.504132231404959
Whitehall Dist 9,587,153,165,1,2,2,323,0.473684210526316,0.510835913312694
Whitehall Dist 10,652,166,224,2,1,1,394,0.421319796954315,0.568527918781726
Whitehall Dist 11,637,136,257,1,2,1,397,0.342569269521411,0.64735516372796
Whitehall Dist 12,588,161,202,0,0,3,366,0.439890710382514,0.551912568306011
Whitehall Dist 13,752,176,223,0,2,2,403,0.436724565756824,0.553349875930521
Whitehall Dist 14,616,146,192,2,3,1,344,0.424418604651163,0.558139534883721
Whitehall Dist 15,1024,206,319,0,2,0,527,0.390891840607211,0.605313092979127
Whitehall Dist 16,627,149,181,0,0,2,332,0.448795180722892,0.545180722891566
White Oak Dist 1,736,154,264,3,3,1,425,0.362352941176471,0.621176470588235
White Oak Dist 2,830,190,270,2,1,3,466,0.407725321888412,0.579399141630901
White Oak Dist 3,900,191,322,1,3,1,518,0.368725868725869,0.621621621621622
White Oak Dist 4,737,177,247,1,0,2,427,0.414519906323185,0.578454332552693
White Oak Dist 5,821,192,278,1,0,1,472,0.406779661016949,0.588983050847458
White Oak Dist 6,754,115,319,0,1,5,440,0.261363636363636,0.725
White Oak Dist 7,1106,222,419,0,1,2,644,0.34472049689441,0.650621118012422
Wilkins Ward 1 Dist 1,772,229,166,3,4,2,404,0.566831683168317,0.410891089108911
Wilkins Ward 1 Dist 2,667,221,164,0,3,4,392,0.563775510204082,0.418367346938776
Wilkins Ward 1 Dist 3,846,293,165,2,3,2,465,0.63010752688172,0.354838709677419
Wilkins Ward 1 Dist 4,633,227,159,1,0,1,388,0.585051546391753,0.40979381443299
Wilkins Ward 1 Dist 5,454,141,51,2,0,2,196,0.719387755102041,0.260204081632653
Wilkins Ward 2 Dist 1,669,231,162,7,3,1,404,0.571782178217822,0.400990099009901
Wilkins Ward 2 Dist 2,924,282,156,3,3,0,444,0.635135135135135,0.351351351351351
Wilkinsburg Ward 1 Dist 1,922,290,28,4,1,0,323,0.897832817337461,0.086687306501548
Wilkinsburg Ward 1 Dist 2,695,258,11,1,1,2,273,0.945054945054945,0.0402930402930403
Wilkinsburg Ward 1 Dist 3,415,132,8,1,0,0,141,0.936170212765958,0.0567375886524823
Wilkinsburg Ward 1 Dist 4,631,255,33,1,2,3,294,0.86734693877551,0.112244897959184
Wilkinsburg Ward 1 Dist 5,540,195,45,1,1,1,243,0.802469135802469,0.185185185185185
Wilkinsburg Ward 1 Dist 6,930,258,23,4,3,7,295,0.874576271186441,0.0779661016949153
