Precinct,RegisteredVoters,HarrisEDay,TrumpEDay,SteinEDay,OliverEDay,WIEDay,TotalEDay,HarrisPct,TrumpPct
Wilkinsburg Ward 2 Dist 1,734,210,30,0,3,0,243,0.864197530864198,0.123456790123457
Wilkinsburg Ward 2 Dist 2,981,349,77,1,1,4,432,0.80787037037037,0.178240740740741
Wilkinsburg Ward 2 Dist 3,754,234,17,2,1,0,254,0.921259842519685,0.0669291338582677
Wilkinsburg Ward 2 Dist 4,506,147,17,1,0,2,167,0.880239520958084,0.101796407185629
Wilkinsburg Ward 2 Dist 5,762,218,8,4,0,0,230,0.947826086956522,0.0347826086956522
Wilkinsburg Ward 3 Dist 1,733,343,48,1,1,2,395,0.868354430379747,0.121518987341772
Wilkinsburg Ward 3 Dist 2,692,291,38,4,1,4,338,0.86094674556213,0.112426035502959
Wilkinsburg Ward 3 Dist 3,799,243,20,2,1,2,268,0.906716417910448,0.0746268656716418
Wilkinsburg Ward 3 Dist 4,1061,389,53,6,2,6,456,0.853070175438597,0.116228070175439
Wilkinsburg Ward 3 Dist 5,1090,371,29,10,2,2,414,0.896135265700483,0.070048309178744
Wilkinsburg Ward 3 Dist 6,516,178,16,2,1,0,197,0.903553299492386,0.0812182741116751
Wilmerding Dist 1,481,118,59,0,0,1,178,0.662921348314607,0.331460674157303
Wilmerding Dist 2,695,206,112,3,2,1,324,0.635802469135803,0.345679012345679
