Precinct,1st Choice,2nd Choice,3rd Choice,Count
MINNEAPOLIS W-7 P-08,Tom Hoch,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-6 P-03,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-6 P-04,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-7 P-05,Captain Jack Sparrow,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-6 P-04,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-2 P-08,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-8 P-07,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-6 P-09,Betsy Hodges,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-8 P-06,Betsy Hodges,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-7 P-06,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-3 P-06,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-4 P-05,Al Flowers,Al Flowers,Raymond Dehn,1
MINNEAPOLIS W-2 P-01,Tom Hoch,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-7 P-06,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-13 P-09,Tom Hoch,Jacob Frey,Aswar Rahman,1
MINNEAPOLIS W-2 P-11,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-13 P-05,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-6 P-03,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-13 P-09,Nekima Levy-Pounds,Betsy Hodges,undervote,1
MINNEAPOLIS W-3 P-03,Betsy Hodges,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-6 P-03,Jacob Frey,Jacob Frey,Jacob Frey,1
MINNEAPOLIS W-1 P-04,Tom Hoch,Jacob Frey,UWI,1
MINNEAPOLIS W-1 P-04,Nekima Levy-Pounds,Betsy Hodges,undervote,1
MINNEAPOLIS W-5 P-09,Betsy Hodges,Betsy Hodges,Betsy Hodges,1
MINNEAPOLIS W-7 P-01C,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-13 P-11,Charlie Gers,undervote,undervote,1
MINNEAPOLIS W-3 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-06,Raymond Dehn,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-11 P-06,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-3 P-11,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-9 P-07,Betsy Hodges,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-11 P-09,Tom Hoch,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-7 P-08,Troy Benjegerdes,undervote,undervote,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,Al Flowers,1
MINNEAPOLIS W-3 P-11,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-3 P-11,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-4 P-07,Charlie Gers,L.A. Nik,Ronald Lischeid,1
MINNEAPOLIS W-10 P-02,Jacob Frey,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-13 P-03,Tom Hoch,Jacob Frey,Captain Jack Sparrow,1
MINNEAPOLIS W-3 P-09,Jacob Frey,L.A. Nik,Charlie Gers,1
MINNEAPOLIS W-7 P-05,Jacob Frey,Tom Hoch,Al Flowers,1
MINNEAPOLIS W-12 P-02,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-1 P-07,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-3 P-12,Tom Hoch,Betsy Hodges,Ronald Lischeid,1
MINNEAPOLIS W-11 P-06,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-7 P-06,Tom Hoch,undervote,undervote,1
